time,position,ref
15.16666667,0.001129558,1.687275417
15.2,0.001590765,1.702495259
15.23333333,0.002241478,1.723968764
15.26666667,0.002899906,1.745696909
15.3,0.003788801,1.775030439
15.33333333,0.004680679,1.804462419
15.36666667,0.005339803,1.826213483
15.4,0.005992771,1.847761429
15.43333333,0.006817773,1.87498652
15.46666667,0.007730502,1.90510656
15.5,0.008854453,1.942196945
15.53333333,0.010029223,1.980964359
15.56666667,0.011129361,2.017268915
15.6,0.012160367,2.051292108
15.63333333,0.01286081,2.074406744
15.66666667,0.01324532,2.087095555
15.7,0.013797797,2.105327294
15.73333333,0.014443199,2.126625564
15.76666667,0.01516374,2.150403433
15.8,0.015926581,2.175577185
15.83333333,0.016737629,2.202341747
15.86666667,0.017200281,2.217609261
15.9,0.017582708,2.23022935
15.93333333,0.017906404,2.240911331
15.96666667,0.018143863,2.248747479
16,0.018229113,2.251560744
16.03333333,0.018198952,2.250565419
16.06666667,0.018000577,2.244019051
16.1,0.017622339,2.231537187
16.13333333,0.017140833,2.215647483
16.16666667,0.016714662,2.20158383
16.2,0.016354122,2.189686042
16.23333333,0.01603751,2.179237833
16.26666667,0.015778565,2.170692654
16.3,0.015562968,2.163577932
16.33333333,0.015251526,2.15330035
16.36666667,0.014930955,2.142721501
16.4,0.014646736,2.133342276
16.43333333,0.014353671,2.123671145
16.46666667,0.014087145,2.114875772
16.5,0.013909409,2.109010511
16.53333333,0.013778173,2.104679721
16.56666667,0.01362987,2.09978572
16.6,0.013458881,2.094143083
16.63333333,0.013162363,2.084357985
16.66666667,0.01277618,2.071613931
16.7,0.012414192,2.059668331
16.73333333,0.01203529,2.047164579
16.76666667,0.011580914,2.032170157
16.8,0.011160332,2.018290972
16.83333333,0.010749624,2.004737582
16.86666667,0.010235249,1.98776321
16.9,0.009558778,1.96543966
16.93333333,0.008891229,1.943410557
16.96666667,0.008171159,1.91964824
17,0.00731365,1.891350463
17.03333333,0.006557074,1.866383428
17.06666667,0.005835799,1.842581358
17.1,0.005143547,1.819737036
17.13333333,0.004291881,1.791632089
17.16666667,0.003535743,1.766679532
17.2,0.0029063,1.745907891
17.23333333,0.00241012,1.729533952
17.26666667,0.001955498,1.714531425
17.3,0.001589217,1.702444152
17.33333333,0.001393898,1.695998637
17.36666667,0.000967976,1.68194322
17.4,0.000515894,1.667024488
17.43333333,7.58E-05,1.652503027
17.46666667,-0.000492241,1.633756047
17.5,-0.001143327,1.61227021
17.53333333,-0.001373095,1.604687878
17.56666667,-0.001808339,1.590324819
17.6,-0.002275379,1.57491248
17.63333333,-0.002872305,1.555213928
17.66666667,-0.003985312,1.518484694
17.7,-0.005427765,1.470883747
17.73333333,-0.006687688,1.429306298
17.76666667,-0.008307209,1.375862096
17.8,-0.009978176,1.320720206
17.83333333,-0.011172634,1.281303064
17.86666667,-0.012344888,1.242618689
17.9,-0.013491441,1.204782437
17.93333333,-0.014848244,1.160007947
17.96666667,-0.016340102,1.110776624
18,-0.017823641,1.061819855
18.03333333,-0.018717127,1.032334806
18.06666667,-0.019831924,0.99554652
18.1,-0.020496446,0.97361729
18.13333333,-0.020722624,0.966153392
18.16666667,-0.02156259,0.938434545
18.2,-0.022315942,0.913573912
18.23333333,-0.023334047,0.879976436
18.26666667,-0.024859113,0.82964926
18.3,-0.026418195,0.778199558
18.33333333,-0.027875849,0.730096995
18.36666667,-0.029643245,0.671772904
18.4,-0.03153535,0.609333456
18.43333333,-0.033320893,0.550410524
18.46666667,-0.035521945,0.477775821
18.5,-0.037685832,0.406367554
18.53333333,-0.039421636,0.349086002
18.56666667,-0.04103576,0.29581992
18.6,-0.042739885,0.239583792
18.63333333,-0.044453221,0.1830437
18.66666667,-0.046193018,0.125630397
18.7,-0.047813244,0.072162959
18.73333333,-0.049600919,0.013169684
18.76666667,-0.051335827,0
18.8,-0.052999321,0
18.83333333,-0.054533515,0
18.86666667,-0.055622153,0
18.9,-0.056432894,0
18.93333333,-0.05719322,0
18.96666667,-0.057923737,0
19,-0.058654133,0
19.03333333,-0.059282321,0
19.06666667,-0.05991135,0
19.1,-0.060511321,0
19.13333333,-0.061159015,0
19.16666667,-0.061713466,0
19.2,-0.06212217,0
19.23333333,-0.0621732,0
19.26666667,-0.061845789,0
19.3,-0.061044092,0
19.33333333,-0.059915087,0
19.36666667,-0.058721436,0
19.4,-0.057565037,0
19.43333333,-0.056513825,0
19.46666667,-0.055602752,0
19.5,-0.054808174,0
19.53333333,-0.05409291,0
19.56666667,-0.053405759,0
19.6,-0.052749565,0
19.63333333,-0.052112358,0
19.66666667,-0.051444427,0
19.7,-0.050851451,0
19.73333333,-0.050247586,0
19.76666667,-0.049607092,0.012965965
19.8,-0.048856865,0.037723457
19.83333333,-0.048097384,0.062786335
19.86666667,-0.047406529,0.085584554
19.9,-0.046671399,0.109843842
19.93333333,-0.045877194,0.136052585
19.96666667,-0.045079343,0.162381682
20,-0.044227043,0.190507573
20.03333333,-0.043442139,0.2164094
20.06666667,-0.04261081,0.243843282
20.1,-0.041725243,0.273066996
20.13333333,-0.040816414,0.303058349
20.16666667,-0.039902567,0.333215299
20.2,-0.03908807,0.360093689
20.23333333,-0.03831487,0.385609281
20.26666667,-0.03756931,0.41021277
20.3,-0.036808156,0.435330857
20.33333333,-0.036196809,0.455505294
20.36666667,-0.035763363,0.469809022
20.4,-0.035449756,0.480158041
20.43333333,-0.035100052,0.491698268
20.46666667,-0.034807314,0.501358627
20.5,-0.034412482,0.514388089
20.53333333,-0.034051251,0.526308722
20.56666667,-0.033559295,0.542543256
20.6,-0.033228272,0.553467034
20.63333333,-0.033000867,0.560971398
20.66666667,-0.032864154,0.565482921
20.7,-0.032739635,0.56959203
20.73333333,-0.032771733,0.568532798
20.76666667,-0.032865298,0.565445167
20.8,-0.032960701,0.562296875
20.83333333,-0.033057796,0.559092745
20.86666667,-0.033147784,0.556123138
20.9,-0.033206216,0.554194887
20.93333333,-0.033206216,0.554194887
20.96666667,-0.033206216,0.554194887
21,-0.033206216,0.554194887
21.03333333,-0.033206216,0.554194887
21.06666667,-0.033206216,0.554194887
21.1,-0.033206216,0.554194887
21.13333333,-0.033206216,0.554194887
21.16666667,-0.033206216,0.554194887
21.2,-0.033206216,0.554194887
21.23333333,-0.033206216,0.554194887
21.26666667,-0.03312074,0.557015584
21.3,-0.032977805,0.56173245
21.33333333,-0.032722932,0.570143236
21.36666667,-0.032385647,0.581273653
21.4,-0.031977636,0.594738026
21.43333333,-0.031581098,0.607823775
21.46666667,-0.031109751,0.62337822
21.5,-0.030667011,0.637988637
21.53333333,-0.030289461,0.650447771
21.56666667,-0.029908621,0.663015516
21.6,-0.029526159,0.675636737
21.63333333,-0.029142207,0.688307169
21.66666667,-0.028771662,0.700535149
21.7,-0.028497845,0.70957111
21.73333333,-0.028238063,0.718143907
21.76666667,-0.027993373,0.72621869
21.8,-0.027748115,0.734312218
21.83333333,-0.02750593,0.742304297
21.86666667,-0.027283921,0.749630592
21.9,-0.027053533,0.757233396
21.93333333,-0.026815846,0.765077073
21.96666667,-0.026560266,0.77351123
22,-0.026279143,0.782788297
22.03333333,-0.02603857,0.790727189
22.06666667,-0.025804934,0.798437173
22.1,-0.025568806,0.806229398
22.13333333,-0.025369355,0.812811276
22.16666667,-0.025226436,0.817527628
22.2,-0.025033033,0.823909902
22.23333333,-0.024766469,0.83270651
22.26666667,-0.024523869,0.840712322
22.3,-0.024294367,0.848285891
22.33333333,-0.024052569,0.856265228
22.36666667,-0.023798108,0.864662431
22.4,-0.023524206,0.873701187
22.43333333,-0.023235988,0.883212394
22.46666667,-0.022931433,0.89326271
22.5,-0.022597264,0.904290299
22.53333333,-0.022471779,0.908431291
22.56666667,-0.02245834,0.908874775
22.6,-0.022469779,0.908497296
