ref,transient profile,sensor_data,error,control_signal,ESO 1st order,ESO 2nd order,ESO 3rd order
1.000000,1.000000,1.120093,-0.120093,-1.299769,1.120229,0.017265,65.635193
1.000000,1.000615,1.120100,-0.119484,-1.295129,1.120184,0.018158,65.405884
1.000000,1.000000,1.120106,-0.120106,-1.294279,1.120184,0.023510,65.191589
1.000000,1.000615,1.120111,-0.119496,-1.290298,1.120200,0.026913,64.948059
1.000000,1.000000,1.120116,-0.120116,-1.287124,1.120214,0.027664,64.680420
1.000000,1.000615,1.120014,-0.119398,-1.278834,1.120138,0.022995,64.340881
1.000000,1.000000,1.120031,-0.120031,-1.275624,1.120124,0.022953,64.088928
1.000000,1.000615,1.120790,-0.120174,-1.288690,1.120711,0.053085,64.303162
1.000000,1.000000,1.120811,-0.120811,-1.285124,1.120932,0.054741,63.974182
1.000000,1.000615,1.120617,-0.120002,-1.267189,1.120821,0.031254,63.416870
1.000000,1.000000,1.120449,-0.120449,-1.254517,1.120611,0.012379,62.974670
1.000000,1.000615,1.120515,-0.119900,-1.251449,1.120579,0.015324,62.799377
1.000000,1.000000,1.120467,-0.120467,-1.250718,1.120548,0.021679,62.576294
1.000000,1.000615,1.120531,-0.119915,-1.248535,1.120604,0.028271,62.376099
1.000000,1.000000,1.120268,-0.120268,-1.239387,1.120426,0.019810,61.944214
1.000000,1.000615,1.120146,-0.119530,-1.230547,1.120268,0.013596,61.609192
1.000000,1.000000,1.120039,-0.120040,-1.226854,1.120140,0.013786,61.335266
1.000000,1.000615,1.120054,-0.119438,-1.224727,1.120124,0.020561,61.142029
1.000000,1.000000,1.120066,-0.120066,-1.224015,1.120147,0.026546,60.921814
1.000000,1.000615,1.120076,-0.119461,-1.219340,1.120171,0.028503,60.663269
1.000000,1.000000,1.120086,-0.120086,-1.215645,1.120187,0.028023,60.387573
1.000000,1.000615,1.120094,-0.119478,-1.209689,1.120194,0.026901,60.112305
1.000000,1.000000,1.120100,-0.120101,-1.206053,1.120199,0.026344,59.842712
1.000000,1.000615,1.120107,-0.119491,-1.200545,1.120204,0.026165,59.576721
1.000000,1.000000,1.120218,-0.120218,-1.199665,1.120291,0.030247,59.376038
1.000000,1.000615,1.120209,-0.119593,-1.193715,1.120314,0.029652,59.089722
1.000000,1.000000,1.120094,-0.120095,-1.186465,1.120227,0.022984,58.728516
1.000000,1.000615,1.119995,-0.119380,-1.178152,1.120114,0.017715,58.402649
1.000000,1.000000,1.119909,-0.119909,-1.173991,1.120012,0.016785,58.119324
1.000000,1.000615,1.119834,-0.119218,-1.168882,1.119931,0.018261,57.854431
1.000000,1.000000,1.119663,-0.119663,-1.163515,1.119783,0.016212,57.524475
1.000000,1.000615,1.119726,-0.119111,-1.161228,1.119794,0.021942,57.338867
1.000000,1.000000,1.119782,-0.119782,-1.161191,1.119855,0.028759,57.139587
1.000000,1.000615,1.119830,-0.119214,-1.157063,1.119919,0.031475,56.895386
1.000000,1.000000,1.119978,-0.119978,-1.156003,1.120053,0.034977,56.690308
1.000000,1.000615,1.120000,-0.119384,-1.149496,1.120107,0.032829,56.396790
1.000000,1.000000,1.120019,-0.120019,-1.144392,1.120128,0.029030,56.099121
1.000000,1.000615,1.120142,-0.119527,-1.140487,1.120220,0.030666,55.886047
1.000000,1.000000,1.120249,-0.120249,-1.138975,1.120329,0.033619,55.666809
1.000000,1.000615,1.120235,-0.119620,-1.131827,1.120349,0.030514,55.356445
1.000000,1.000000,1.120224,-0.120224,-1.066117,1.120014,-0.208614,55.929321
1.000000,1.000615,1.120213,-0.119598,-1.059798,1.119409,-0.337673,58.124268
1.000000,1.000000,1.120311,-0.120311,-1.112463,1.119130,-0.342747,61.346924
1.000000,1.000615,1.120289,-0.119674,-1.177983,1.119082,-0.305832,64.643127
1.000000,1.000000,1.120164,-0.120164,-1.236005,1.119057,-0.284763,67.665039
1.000000,1.000615,1.119949,-0.119334,-1.340604,1.119240,-0.054115,69.601929
1.000000,1.000000,1.120082,-0.120082,-1.393199,1.119882,0.076618,70.148010
1.000000,1.000615,1.120090,-0.119475,-1.388716,1.120259,0.087921,69.688110
1.000000,1.000000,1.120204,-0.120204,-1.370482,1.120418,0.056988,69.104370
1.000000,1.000615,1.120090,-0.119475,-1.349820,1.120292,0.024635,68.553467
1.000000,1.000000,1.119991,-0.119992,-1.340150,1.120122,0.010529,68.196716
1.000000,1.000615,1.119799,-0.119184,-1.332622,1.119912,0.007328,67.888367
1.000000,1.000000,1.119845,-0.119845,-1.334453,1.119898,0.017494,67.744995
1.000000,1.000615,1.120203,-0.119588,-1.341151,1.120198,0.039482,67.760681
1.000000,1.000000,1.120302,-0.120302,-1.340427,1.120390,0.045586,67.520447
1.000000,1.000615,1.120282,-0.119666,-1.329956,1.120423,0.035927,67.133972
1.000000,1.000000,1.120157,-0.120158,-1.319456,1.120310,0.022011,66.718140
1.000000,1.000615,1.120262,-0.119647,-1.315277,1.120337,0.022579,66.515503
1.000000,1.000000,1.120247,-0.120247,-1.313071,1.120337,0.025341,66.269043
1.000000,1.000615,1.120340,-0.119725,-1.310224,1.120415,0.029972,66.063965
1.000000,1.000000,1.120208,-0.120209,-1.303556,1.120340,0.025066,65.703003
1.000000,1.000615,1.119988,-0.119372,-1.291969,1.120139,0.014477,65.290710
1.000000,1.000000,1.119796,-0.119797,-1.285069,1.119922,0.008644,64.947693
1.000000,1.000615,1.119949,-0.119333,-1.286499,1.119982,0.020840,64.857361
1.000000,1.000000,1.119869,-0.119869,-1.284865,1.119964,0.026276,64.596191
2.000000,1.000615,1.119905,-0.119290,-1.280399,1.119996,0.028339,64.347412
2.000000,1.002462,1.120043,-0.117581,-1.275742,1.120114,0.032955,64.153137
2.000000,1.005540,1.119951,-0.114411,-1.248193,1.119999,-0.030251,64.020386
2.000000,1.009849,1.120082,-0.110234,-1.238076,1.119935,-0.060314,64.421875
2.000000,1.015389,1.120197,-0.104808,-1.240440,1.119964,-0.057346,65.058472
2.000000,1.022160,1.120403,-0.098242,-1.246276,1.120148,-0.040901,65.754944
2.000000,1.030163,1.120475,-0.090312,-1.244388,1.120284,-0.032917,66.276611
2.000000,1.039397,1.120432,-0.081035,-1.234076,1.120296,-0.036442,66.646973
2.000000,1.049861,1.120076,-0.070214,-1.213926,1.120014,-0.052303,66.814026
